Material Group,Material,Unitmass,Vehicle,Class,Component,Part,Part%
Polymers,Rubber,1.7406E-04,hev,Cars,Interior,Instrument panel,1%
"Critical Raw Materials, CRM",Magnesium,1.7406E-04,hev,Cars,Interior,Instrument panel,1%
Polymers,Plastic,1.0814E-02,hev,Cars,Interior,Trim & insulation,67.2%
"Metals, ferrous",Steel,4.7471E-03,hev,Cars,Interior,Trim & insulation,29.5%
Organic,Organic,5.1494E-04,hev,Cars,Interior,Trim & insulation,3.2%
Aluminium,"Aluminium, wrought alloy",1.6092E-05,hev,Cars,Interior,Trim & insulation,0.1%
Polymers,Plastic,1.1795E-02,hev,Cars,Interior,Door modules,65.3%
Organic,Organic,5.8883E-03,hev,Cars,Interior,Door modules,32.6%
"Metals, ferrous",Steel,3.2512E-04,hev,Cars,Interior,Door modules,1.8%
Glass,Glass,5.4187E-05,hev,Cars,Interior,Door modules,0.3%
"Metals, ferrous",Steel,2.5143E-02,hev,Cars,Interior,Seating & restraint,58%
Polymers,Plastic,1.6906E-02,hev,Cars,Interior,Seating & restraint,39%
Organic,Organic,1.3005E-03,hev,Cars,Interior,Seating & restraint,3%
Material Group,,0.0000E+00,hev,Cars,Interior,Seating & restraint,
"Metals, ferrous",Steel,8.1209E-03,hev,Cars,Interior,HVAC,56.2%
Aluminium,"Aluminium, wrought alloy",3.1067E-03,hev,Cars,Interior,HVAC,21.5%
Copper,Copper,2.4131E-03,hev,Cars,Interior,HVAC,16.7%
Polymers,Plastic,3.4680E-04,hev,Cars,Interior,HVAC,2.4%
Polymers,Rubber,2.8900E-04,hev,Cars,Interior,HVAC,2%
"Metals, other nonferrous",Zinc,7.2250E-05,hev,Cars,Interior,HVAC,0.5%
Unknown,Other,1.0115E-04,hev,Cars,Interior,HVAC,0.7%
Polymers,Plastic,4.2627E-03,hev,Cars,Interior,Interior electrical,59%
Copper,Copper,2.9622E-03,hev,Cars,Interior,Interior electrical,41%
"Metals, ferrous",Steel,3.6125E-03,hev,Cars,Interior,Weld blanks and fasteners (interior to body),50%
Polymers,Plastic,3.6125E-03,hev,Cars,Interior,Weld blanks and fasteners (interior to body),50%
"Metals, ferrous","Iron, cast",3.9901E-02,hev,Cars,Powertrain,Engine,50%
Aluminium,"Aluminium, cast alloy",2.3941E-02,hev,Cars,Powertrain,Engine,30%
"Metals, ferrous",Steel,7.9803E-03,hev,Cars,Powertrain,Engine,10%
Polymers,Plastic,3.5911E-03,hev,Cars,Powertrain,Engine,4.5%
Polymers,Rubber,3.5911E-03,hev,Cars,Powertrain,Engine,4.5%
Copper,Copper,7.9803E-04,hev,Cars,Powertrain,Engine,1%
Material Group,,0.0000E+00,hev,Cars,Powertrain,Engine,
Composites,Carbon Fiber Composite,0.0000E+00,hev,Cars,Powertrain,Fuel cell stack,62.8%
Aluminium,"Aluminium, wrought alloy",0.0000E+00,hev,Cars,Powertrain,Fuel cell stack,23.2%
Polymers,Perfluorosulfonic Acid,0.0000E+00,hev,Cars,Powertrain,Fuel cell stack,5.4%
Minerals,Carbon Paper,0.0000E+00,hev,Cars,Powertrain,Fuel cell stack,5.0%
"Metals, ferrous",Steel,0.0000E+00,hev,Cars,Powertrain,Fuel cell stack,1.5%
Polymers,Polytetrafluoroethylene,0.0000E+00,hev,Cars,Powertrain,Fuel cell stack,1.4%
Polymers,Carbon/Perfluorosulfonic Acid Suspension,0.0000E+00,hev,Cars,Powertrain,Fuel cell stack,0.6%
"Critical Raw Materials, CRM",Platinum,0.0000E+00,hev,Cars,Powertrain,Fuel cell stack,0.1%
"Metals, ferrous",Steel,3.9080E-02,hev,Cars,Powertrain,Engine fuel storage system,100%
"Metals, ferrous",Steel,5.2545E-03,hev,Cars,Powertrain,Powertrain thermal,50%
Polymers,Plastic,5.2545E-03,hev,Cars,Powertrain,Powertrain thermal,50%
"Metals, ferrous",Steel,2.1015E-02,hev,Cars,Powertrain,Exhaust,99.985%
"Critical Raw Materials, CRM",Platinum,3.1527E-06,hev,Cars,Powertrain,Exhaust,0.015%
Polymers,Plastic,4.2627E-03,hev,Cars,Powertrain,Powertrain electrical,59%
Copper,Copper,2.9622E-03,hev,Cars,Powertrain,Powertrain electrical,41%
Polymers,Plastic,7.7504E-04,hev,Cars,Powertrain,Emission control electronics,59%
Copper,Copper,5.3859E-04,hev,Cars,Powertrain,Emission control electronics,41%
"Metals, ferrous",Steel,7.2250E-03,hev,Cars,Powertrain,Weld blanks and fasteners (powertrain to body),100%
"Metals, ferrous",Steel,0.0000E+00,hev,Cars,Powertrain,Transmission (ICEV),30%
Aluminium,"Aluminium, wrought alloy",0.0000E+00,hev,Cars,Powertrain,Transmission (ICEV),30%
"Metals, ferrous","Iron, cast",0.0000E+00,hev,Cars,Powertrain,Transmission (ICEV),30%
Polymers,Plastic,0.0000E+00,hev,Cars,Powertrain,Transmission (ICEV),5%
Polymers,Rubber,0.0000E+00,hev,Cars,Powertrain,Transmission (ICEV),5%
"Metals, ferrous",Steel,4.2519E-02,hev,Cars,Powertrain,Transmission (HEV/FCV),60.5%
Aluminium,"Aluminium, wrought alloy",1.4056E-02,hev,Cars,Powertrain,Transmission (HEV/FCV),20%
Copper,Copper,1.3353E-02,hev,Cars,Powertrain,Transmission (HEV/FCV),19%
Organic,Organic,2.1084E-04,hev,Cars,Powertrain,Transmission (HEV/FCV),0.3%
Polymers,Plastic,1.4056E-04,hev,Cars,Powertrain,Transmission (HEV/FCV),0.2%
"Metals, ferrous",Steel,2.1675E-02,hev,Cars,Chassis,Cradle,100%
"Metals, ferrous",Steel,5.3530E-02,hev,Cars,Chassis,Driveshaft/axle,100%
"Metals, ferrous",Steel,1.8062E-02,hev,Cars,Chassis,Differential,100%
"Metals, ferrous",Steel,2.9557E-02,hev,Cars,Chassis,Corner suspension,100%
"Metals, ferrous",Iron,1.6552E-02,hev,Cars,Chassis,Braking system,60%
"Metals, ferrous",Steel,9.6552E-03,hev,Cars,Chassis,Braking system,35%
Ceramics,Friction Material,1.3793E-03,hev,Cars,Chassis,Braking system,5%
"Metals, ferrous",Steel,2.9885E-02,hev,Cars,Chassis,Wheels,100%
Polymers,Rubber,1.9803E-02,hev,Cars,Chassis,Tires,67%
"Metals, ferrous",Steel,9.7537E-03,hev,Cars,Chassis,Tires,33%
"Metals, ferrous",Steel,1.2874E-02,hev,Cars,Chassis,Steering system,80%
Aluminium,"Aluminium, wrought alloy",2.4138E-03,hev,Cars,Chassis,Steering system,15%
Polymers,Rubber,8.0460E-04,hev,Cars,Chassis,Steering system,5%
Polymers,Plastic,4.2627E-03,hev,Cars,Chassis,Chassis electrical,59%
Copper,Copper,2.9622E-03,hev,Cars,Chassis,Chassis electrical,41%
"Metals, ferrous",Steel,7.2250E-03,hev,Cars,Chassis,Weld blanks and fasteners (chassis to body),100%
"Metals, ferrous",Steel,7.2319E-03,hev,Cars,Chassis,Generator,36.1%
Aluminium,"Aluminium, cast alloy",7.2319E-03,hev,Cars,Chassis,Generator,36.1%
Copper,Copper,5.4690E-03,hev,Cars,Chassis,Generator,27.3%
"Metals, ferrous",Steel,7.2319E-03,hev,Cars,Chassis,Motor,36.1%
Aluminium,"Aluminium, cast alloy",7.2319E-03,hev,Cars,Chassis,Motor,36.1%
Copper,Copper,5.4690E-03,hev,Cars,Chassis,Motor,27.3%
"Metals, ferrous",Steel,8.8670E-04,hev,Cars,Chassis,Controller/inverter,5.0%
Aluminium,"Aluminium, cast alloy",8.3350E-03,hev,Cars,Chassis,Controller/inverter,47.0%
Copper,Copper,1.4542E-03,hev,Cars,Chassis,Controller/inverter,8.2%
Polymers,Rubber,6.5616E-04,hev,Cars,Chassis,Controller/inverter,3.7%
Polymers,Plastic,4.2207E-03,hev,Cars,Chassis,Controller/inverter,23.8%
Organic,Organic,2.1813E-03,hev,Cars,Chassis,Controller/inverter,12.3%
"Metals, ferrous",Steel,0.0000E+00,hev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),36.8%
Composites,Carbon Fiber Composite,0.0000E+00,hev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),25.7%
Aluminium,"Aluminium, wrought alloy",0.0000E+00,hev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),16.7%
Copper,Copper,0.0000E+00,hev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),9.6%
Polymers,Plastic,0.0000E+00,hev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),8.7%
Polymers,Rubber,0.0000E+00,hev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),1.5%
"Metals, other nonferrous",Lead,4.9852E-03,hev,Cars,Battery,Pb-Ac Battery,69%
Organic,Water,1.0187E-03,hev,Cars,Battery,Pb-Ac Battery,14.1%
Chemicals,Sulfuric Acid,5.7077E-04,hev,Cars,Battery,Pb-Ac Battery,7.9%
Polymers,Plastic,4.4072E-04,hev,Cars,Battery,Pb-Ac Battery,6.1%
Composites,Fiberglass,1.5172E-04,hev,Cars,Battery,Pb-Ac Battery,2.1%
Unknown,Other,5.7800E-05,hev,Cars,Battery,Pb-Ac Battery,0.8%
"Metals, other nonferrous",Nickel,0.0000E+00,hev,Cars,Battery,Ni-MH Battery,28.2%
"Metals, ferrous",Steel,0.0000E+00,hev,Cars,Battery,Ni-MH Battery,23.7%
Polymers,Plastic,0.0000E+00,hev,Cars,Battery,Ni-MH Battery,22.5%
"Metals, ferrous",Iron,0.0000E+00,hev,Cars,Battery,Ni-MH Battery,12%
"Critical Raw Materials, CRM",Rare Earth Metals,0.0000E+00,hev,Cars,Battery,Ni-MH Battery,6.3%
Copper,Copper,0.0000E+00,hev,Cars,Battery,Ni-MH Battery,3.9%
"Critical Raw Materials, CRM",Cobalt,0.0000E+00,hev,Cars,Battery,Ni-MH Battery,1.8%
"Critical Raw Materials, CRM",Magnesium,0.0000E+00,hev,Cars,Battery,Ni-MH Battery,1%
Aluminium,"Aluminium, wrought alloy",0.0000E+00,hev,Cars,Battery,Ni-MH Battery,0.5%
Polymers,Rubber,0.0000E+00,hev,Cars,Battery,Ni-MH Battery,0.1%
"Critical Raw Materials, CRM",Limn2O4,3.6355E-03,hev,Cars,Battery,Li-Ion HEV Battery,27.0%
Aluminium,"Aluminium, wrought alloy",3.1911E-03,hev,Cars,Battery,Li-Ion HEV Battery,23.7%
Copper,Copper,1.7773E-03,hev,Cars,Battery,Li-Ion HEV Battery,13.2%
"Critical Raw Materials, CRM",Graphite/Carbon,1.6427E-03,hev,Cars,Battery,Li-Ion HEV Battery,12.2%
Polymers,Plastic,6.0591E-04,hev,Cars,Battery,Li-Ion HEV Battery,4.5%
Polymers,Ethylene Carbonate,5.9245E-04,hev,Cars,Battery,Li-Ion HEV Battery,4.4%
Polymers,Dimethyl Carbonate,5.9245E-04,hev,Cars,Battery,Li-Ion HEV Battery,4.4%
"Metals, ferrous",Steel,3.7701E-04,hev,Cars,Battery,Li-Ion HEV Battery,2.8%
Polymers,Glycol,3.0969E-04,hev,Cars,Battery,Li-Ion HEV Battery,2.3%
Polymers,Binder,2.8276E-04,hev,Cars,Battery,Li-Ion HEV Battery,2.1%
"Critical Raw Materials, CRM",Lipf6,2.0197E-04,hev,Cars,Battery,Li-Ion HEV Battery,1.5%
Minerals,Electronicparts,2.0197E-04,hev,Cars,Battery,Li-Ion HEV Battery,1.5%
Insulation,Thermal Insulation,5.3859E-05,hev,Cars,Battery,Li-Ion HEV Battery,0.4%
"Critical Raw Materials, CRM",Limn2O4,0.0000E+00,hev,Cars,Battery,Li-Ion PHEV Battery,27.8%
Aluminium,"Aluminium, wrought alloy",0.0000E+00,hev,Cars,Battery,Li-Ion PHEV Battery,22.9%
Copper,Copper,0.0000E+00,hev,Cars,Battery,Li-Ion PHEV Battery,14.8%
"Critical Raw Materials, CRM",Graphite/Carbon,0.0000E+00,hev,Cars,Battery,Li-Ion PHEV Battery,12.2%
Polymers,Ethylene Carbonate,0.0000E+00,hev,Cars,Battery,Li-Ion PHEV Battery,4.9%
Polymers,Dimethyl Carbonate,0.0000E+00,hev,Cars,Battery,Li-Ion PHEV Battery,4.9%
Polymers,Plastic,0.0000E+00,hev,Cars,Battery,Li-Ion PHEV Battery,4.3%
Polymers,Binder,0.0000E+00,hev,Cars,Battery,Li-Ion PHEV Battery,2.1%
"Metals, ferrous",Steel,0.0000E+00,hev,Cars,Battery,Li-Ion PHEV Battery,1.9%
"Critical Raw Materials, CRM",Lipf6,0.0000E+00,hev,Cars,Battery,Li-Ion PHEV Battery,1.7%
Polymers,Glycol,0.0000E+00,hev,Cars,Battery,Li-Ion PHEV Battery,1.3%
Minerals,Electronicparts,0.0000E+00,hev,Cars,Battery,Li-Ion PHEV Battery,0.9%
Insulation,Thermal Insulation,0.0000E+00,hev,Cars,Battery,Li-Ion PHEV Battery,0.3%
"Critical Raw Materials, CRM",Limn2O4,0.0000E+00,hev,Cars,Battery,Li-Ion EV Battery,33.4%
Aluminium,"Aluminium, wrought alloy",0.0000E+00,hev,Cars,Battery,Li-Ion EV Battery,19.1%
"Critical Raw Materials, CRM",Graphite/Carbon,0.0000E+00,hev,Cars,Battery,Li-Ion EV Battery,14.6%
Copper,Copper,0.0000E+00,hev,Cars,Battery,Li-Ion EV Battery,10.9%
Polymers,Ethylene Carbonate,0.0000E+00,hev,Cars,Battery,Li-Ion EV Battery,5.3%
Polymers,Dimethyl Carbonate,0.0000E+00,hev,Cars,Battery,Li-Ion EV Battery,5.3%
Polymers,Plastic,0.0000E+00,hev,Cars,Battery,Li-Ion EV Battery,3.2%
Polymers,Binder,0.0000E+00,hev,Cars,Battery,Li-Ion EV Battery,2.5%
"Critical Raw Materials, CRM",Lipf6,0.0000E+00,hev,Cars,Battery,Li-Ion EV Battery,1.8%
"Metals, ferrous",Steel,0.0000E+00,hev,Cars,Battery,Li-Ion EV Battery,1.4%
Minerals,Electronicparts,0.0000E+00,hev,Cars,Battery,Li-Ion EV Battery,1.2%
Polymers,Glycol,0.0000E+00,hev,Cars,Battery,Li-Ion EV Battery,1.0%
Insulation,Thermal Insulation,0.0000E+00,hev,Cars,Battery,Li-Ion EV Battery,0.3%
